rl;V(vo);I(RL)
3.300000000000000e+00;3.573660e+00;1.082927e+00
4.299396378269617e+00;4.690658e+00;1.091004e+00
5.298792756539235e+00;4.998152e+00;9.432625e-01
6.298189134808853e+00;5.001020e+00;7.940409e-01
7.297585513078470e+00;5.002718e+00;6.855306e-01
8.296981891348089e+00;5.003938e+00;6.031034e-01
9.296378269617705e+00;5.004858e+00;5.383664e-01
1.029577464788732e+01;5.005578e+00;4.861778e-01
1.129517102615694e+01;5.006156e+00;4.432121e-01
1.229456740442656e+01;5.006632e+00;4.072231e-01
1.329396378269618e+01;5.007030e+00;3.766394e-01
1.429336016096579e+01;5.007370e+00;3.503284e-01
1.529275653923541e+01;5.007661e+00;3.274532e-01
1.629215291750503e+01;5.007916e+00;3.073821e-01
1.729154929577465e+01;5.008140e+00;2.896293e-01
1.829094567404427e+01;5.008338e+00;2.738152e-01
1.929034205231388e+01;5.008516e+00;2.596385e-01
2.028973843058350e+01;5.008676e+00;2.468576e-01
2.128913480885312e+01;5.008820e+00;2.352759e-01
2.228853118712274e+01;5.008951e+00;2.247322e-01
2.328792756539235e+01;5.009071e+00;2.150930e-01
2.428732394366197e+01;5.009181e+00;2.062467e-01
2.528672032193159e+01;5.009283e+00;1.980993e-01
2.628611670020121e+01;5.009376e+00;1.905712e-01
2.728551307847082e+01;5.009463e+00;1.835942e-01
2.828490945674044e+01;5.009544e+00;1.771101e-01
2.928430583501006e+01;5.009619e+00;1.710684e-01
3.028370221327968e+01;5.009690e+00;1.654253e-01
3.128309859154930e+01;5.009756e+00;1.601426e-01
3.228249496981891e+01;5.009818e+00;1.551868e-01
3.328189134808853e+01;5.009876e+00;1.505286e-01
3.428128772635814e+01;5.009932e+00;1.461419e-01
3.528068410462777e+01;5.009984e+00;1.420036e-01
3.628008048289738e+01;5.010033e+00;1.380932e-01
3.727947686116700e+01;5.010080e+00;1.343924e-01
3.827887323943661e+01;5.010124e+00;1.308848e-01
3.927826961770624e+01;5.010167e+00;1.275557e-01
4.027766599597585e+01;5.010207e+00;1.243917e-01
4.127706237424547e+01;5.010245e+00;1.213809e-01
4.227645875251509e+01;5.010282e+00;1.185123e-01
4.327585513078471e+01;5.010317e+00;1.157763e-01
4.427525150905432e+01;5.010351e+00;1.131637e-01
4.527464788732394e+01;5.010383e+00;1.106664e-01
4.627404426559356e+01;5.010414e+00;1.082770e-01
4.727344064386318e+01;5.010443e+00;1.059885e-01
4.827283702213279e+01;5.010471e+00;1.037948e-01
4.927223340040241e+01;5.010499e+00;1.016901e-01
5.027162977867203e+01;5.010525e+00;9.966904e-02
5.127102615694164e+01;5.010550e+00;9.772675e-02
5.227042253521127e+01;5.010575e+00;9.585871e-02
5.326981891348088e+01;5.010599e+00;9.406074e-02
5.426921529175050e+01;5.010622e+00;9.232898e-02
5.526861167002011e+01;5.010643e+00;9.065983e-02
5.626800804828974e+01;5.010664e+00;8.904997e-02
5.726740442655935e+01;5.010685e+00;8.749629e-02
5.826680080482897e+01;5.010705e+00;8.599588e-02
5.926619718309859e+01;5.010725e+00;8.454607e-02
6.026559356136821e+01;5.010743e+00;8.314434e-02
6.126498993963782e+01;5.010761e+00;8.178833e-02
6.226438631790744e+01;5.010779e+00;8.047584e-02
6.326378269617706e+01;5.010796e+00;7.920481e-02
6.426317907444668e+01;5.010812e+00;7.797331e-02
6.526257545271629e+01;5.010828e+00;7.677951e-02
6.626197183098591e+01;5.010844e+00;7.562172e-02
6.726136820925554e+01;5.010859e+00;7.449833e-02
6.826076458752514e+01;5.010874e+00;7.340783e-02
6.926016096579477e+01;5.010889e+00;7.234879e-02
7.025955734406438e+01;5.010903e+00;7.131987e-02
7.125895372233400e+01;5.010916e+00;7.031982e-02
7.225835010060362e+01;5.010930e+00;6.934741e-02
7.325774647887323e+01;5.010943e+00;6.840155e-02
7.425714285714285e+01;5.010955e+00;6.748112e-02
7.525653923541248e+01;5.010968e+00;6.658515e-02
7.625593561368208e+01;5.010980e+00;6.571265e-02
7.725533199195171e+01;5.010992e+00;6.486273e-02
7.825472837022133e+01;5.011003e+00;6.403451e-02
7.925412474849094e+01;5.011014e+00;6.322718e-02
8.025352112676056e+01;5.011025e+00;6.243994e-02
8.125291750503018e+01;5.011036e+00;6.167208e-02
8.225231388329979e+01;5.011047e+00;6.092286e-02
8.325171026156941e+01;5.011057e+00;6.019164e-02
8.425110663983904e+01;5.011067e+00;5.947776e-02
8.525050301810865e+01;5.011077e+00;5.878061e-02
8.624989939637827e+01;5.011086e+00;5.809962e-02
8.724929577464788e+01;5.011096e+00;5.743423e-02
8.824869215291750e+01;5.011105e+00;5.678390e-02
8.924808853118712e+01;5.011114e+00;5.614814e-02
9.024748490945673e+01;5.011123e+00;5.552646e-02
9.124688128772635e+01;5.011132e+00;5.491839e-02
9.224627766599598e+01;5.011140e+00;5.432349e-02
9.324567404426558e+01;5.011148e+00;5.374135e-02
9.424507042253521e+01;5.011157e+00;5.317155e-02
9.524446680080483e+01;5.011165e+00;5.261371e-02
9.624386317907444e+01;5.011173e+00;5.206745e-02
9.724325955734406e+01;5.011180e+00;5.153242e-02
9.824265593561368e+01;5.011188e+00;5.100827e-02
9.924205231388329e+01;5.011196e+00;5.049468e-02
1.002414486921529e+02;5.011203e+00;4.999132e-02
1.012408450704225e+02;5.011210e+00;4.949791e-02
1.022402414486921e+02;5.011217e+00;4.901414e-02
1.032396378269618e+02;5.011224e+00;4.853973e-02
1.042390342052314e+02;5.011231e+00;4.807442e-02
1.052384305835010e+02;5.011238e+00;4.761794e-02
1.062378269617706e+02;5.011244e+00;4.717005e-02
1.072372233400402e+02;5.011250e+00;4.673051e-02
1.082366197183099e+02;5.011257e+00;4.629909e-02
1.092360160965795e+02;5.011263e+00;4.587556e-02
1.102354124748491e+02;5.011270e+00;4.545971e-02
1.112348088531187e+02;5.011276e+00;4.505133e-02
1.122342052313883e+02;5.011281e+00;4.465022e-02
1.132336016096579e+02;5.011287e+00;4.425619e-02
1.142329979879276e+02;5.011293e+00;4.386905e-02
1.152323943661972e+02;5.011299e+00;4.348863e-02
1.162317907444668e+02;5.011304e+00;4.311475e-02
1.172311871227364e+02;5.011310e+00;4.274724e-02
1.182305835010060e+02;5.011315e+00;4.238595e-02
1.192299798792756e+02;5.011321e+00;4.203071e-02
1.202293762575453e+02;5.011326e+00;4.168138e-02
1.212287726358149e+02;5.011331e+00;4.133780e-02
1.222281690140845e+02;5.011336e+00;4.099985e-02
1.232275653923541e+02;5.011342e+00;4.066737e-02
1.242269617706237e+02;5.011346e+00;4.034025e-02
1.252263581488934e+02;5.011352e+00;4.001834e-02
1.262257545271630e+02;5.011356e+00;3.970154e-02
1.272251509054326e+02;5.011361e+00;3.938970e-02
1.282245472837022e+02;5.011366e+00;3.908273e-02
1.292239436619718e+02;5.011370e+00;3.878051e-02
1.302233400402415e+02;5.011375e+00;3.848292e-02
1.312227364185111e+02;5.011379e+00;3.818987e-02
1.322221327967807e+02;5.011384e+00;3.790125e-02
1.332215291750503e+02;5.011388e+00;3.761695e-02
1.342209255533199e+02;5.011393e+00;3.733689e-02
1.352203219315896e+02;5.011397e+00;3.706098e-02
1.362197183098592e+02;5.011401e+00;3.678910e-02
1.372191146881288e+02;5.011405e+00;3.652119e-02
1.382185110663984e+02;5.011409e+00;3.625715e-02
1.392179074446680e+02;5.011414e+00;3.599690e-02
1.402173038229376e+02;5.011417e+00;3.574036e-02
1.412167002012073e+02;5.011421e+00;3.548745e-02
1.422160965794769e+02;5.011425e+00;3.523810e-02
1.432154929577465e+02;5.011429e+00;3.499223e-02
1.442148893360161e+02;5.011433e+00;3.474976e-02
1.452142857142857e+02;5.011437e+00;3.451063e-02
1.462136820925553e+02;5.011440e+00;3.427477e-02
1.472130784708250e+02;5.011444e+00;3.404211e-02
1.482124748490946e+02;5.011448e+00;3.381259e-02
1.492118712273642e+02;5.011451e+00;3.358614e-02
1.502112676056338e+02;5.011455e+00;3.336271e-02
1.512106639839034e+02;5.011458e+00;3.314223e-02
1.522100603621730e+02;5.011462e+00;3.292464e-02
1.532094567404427e+02;5.011466e+00;3.270990e-02
1.542088531187123e+02;5.011469e+00;3.249793e-02
1.552082494969819e+02;5.011472e+00;3.228870e-02
