rl;V(vo);I(RL)
1.000000000000000e-03;3.380401e-04;3.380401e-01
1.009900000000000e-01;3.486600e-02;3.452421e-01
2.009800000000000e-01;7.089723e-02;3.527576e-01
3.009700000000000e-01;1.085321e-01;3.606076e-01
4.009600000000000e-01;1.478800e-01;3.688148e-01
5.009500000000000e-01;1.890606e-01;3.774042e-01
6.009400000000000e-01;2.322051e-01;3.864031e-01
7.009300000000001e-01;2.774573e-01;3.958416e-01
8.009200000000001e-01;3.249754e-01;4.057526e-01
9.009100000000001e-01;3.749340e-01;4.161725e-01
1.000900000000000e+00;4.275260e-01;4.271416e-01
1.100890000000000e+00;4.829652e-01;4.387043e-01
1.200880000000000e+00;5.414891e-01;4.509102e-01
1.300870000000000e+00;6.033623e-01;4.638145e-01
1.400860000000000e+00;6.688809e-01;4.774788e-01
1.500850000000000e+00;7.383766e-01;4.919723e-01
1.600840000000000e+00;8.122225e-01;5.073727e-01
1.700830000000000e+00;8.908402e-01;5.237679e-01
1.800820000000000e+00;9.747072e-01;5.412574e-01
1.900810000000000e+00;1.064367e+00;5.599545e-01
2.000800000000000e+00;1.160441e+00;5.799884e-01
2.100790000000000e+00;1.263642e+00;6.015078e-01
2.200780000000000e+00;1.374792e+00;6.246840e-01
2.300770000000000e+00;1.494846e+00;6.497157e-01
2.400760000000000e+00;1.624918e+00;6.768346e-01
2.500750000000000e+00;1.766312e+00;7.063128e-01
2.600740000000000e+00;1.920572e+00;7.384712e-01
2.700730000000000e+00;2.089533e+00;7.736919e-01
2.800720000000000e+00;2.275397e+00;8.124329e-01
2.900710000000000e+00;2.480825e+00;8.552476e-01
3.000700000000000e+00;2.709067e+00;9.028116e-01
3.100690000000000e+00;2.964126e+00;9.559569e-01
3.200680000000000e+00;3.250997e+00;1.015721e+00
3.300670000000000e+00;3.575981e+00;1.083411e+00
3.400660000000000e+00;3.947139e+00;1.160698e+00
3.500650000000000e+00;4.264619e+00;1.218236e+00
3.600640000000000e+00;4.337364e+00;1.204609e+00
3.700630000000000e+00;4.393983e+00;1.187361e+00
3.800620000000000e+00;4.447322e+00;1.170157e+00
3.900610000000000e+00;4.498927e+00;1.153391e+00
4.000600000000000e+00;4.549047e+00;1.137091e+00
4.100590000000000e+00;4.597766e+00;1.121245e+00
4.200580000000000e+00;4.645135e+00;1.105832e+00
4.300570000000000e+00;4.691191e+00;1.090830e+00
4.400560000000000e+00;4.735941e+00;1.076213e+00
4.500550000000000e+00;4.779342e+00;1.061946e+00
4.600540000000001e+00;4.821250e+00;1.047975e+00
4.700530000000001e+00;4.861357e+00;1.034215e+00
4.800520000000001e+00;4.899111e+00;1.020538e+00
4.900510000000001e+00;4.933638e+00;1.006760e+00
5.000500000000001e+00;4.963425e+00;9.925858e-01
5.100490000000001e+00;4.985380e+00;9.774316e-01
5.200480000000001e+00;4.995717e+00;9.606260e-01
5.300470000000001e+00;4.998169e+00;9.429672e-01
5.400460000000001e+00;4.998762e+00;9.256178e-01
5.500450000000001e+00;4.999091e+00;9.088512e-01
5.600440000000001e+00;4.999375e+00;8.926754e-01
5.700430000000001e+00;4.999643e+00;8.770642e-01
5.800420000000001e+00;4.999898e+00;8.619890e-01
5.900410000000001e+00;5.000143e+00;8.474229e-01
6.000400000000001e+00;5.000377e+00;8.333406e-01
6.100390000000001e+00;5.000602e+00;8.197184e-01
6.200380000000001e+00;5.000817e+00;8.065340e-01
6.300370000000001e+00;5.001024e+00;7.937668e-01
6.400360000000001e+00;5.001224e+00;7.813972e-01
6.500350000000001e+00;5.001415e+00;7.694070e-01
6.600340000000001e+00;5.001600e+00;7.577791e-01
6.700330000000001e+00;5.001778e+00;7.464972e-01
6.800320000000001e+00;5.001949e+00;7.355461e-01
6.900310000000001e+00;5.002114e+00;7.249116e-01
7.000300000000001e+00;5.002274e+00;7.145799e-01
7.100290000000001e+00;5.002429e+00;7.045386e-01
7.200280000000001e+00;5.002578e+00;6.947754e-01
7.300270000000001e+00;5.002722e+00;6.852790e-01
7.400260000000001e+00;5.002861e+00;6.760386e-01
7.500250000000001e+00;5.002997e+00;6.670440e-01
7.600240000000001e+00;5.003128e+00;6.582855e-01
7.700230000000001e+00;5.003254e+00;6.497539e-01
7.800220000000001e+00;5.003378e+00;6.414406e-01
7.900210000000001e+00;5.003497e+00;6.333373e-01
8.000200000000001e+00;5.003613e+00;6.254360e-01
8.100190000000000e+00;5.003726e+00;6.177294e-01
8.200180000000000e+00;5.003835e+00;6.102104e-01
8.300170000000000e+00;5.003942e+00;6.028722e-01
8.400160000000000e+00;5.004045e+00;5.957083e-01
8.500150000000000e+00;5.004146e+00;5.887126e-01
8.600140000000000e+00;5.004243e+00;5.818793e-01
8.700130000000000e+00;5.004339e+00;5.752028e-01
8.800120000000000e+00;5.004431e+00;5.686776e-01
8.900110000000000e+00;5.004522e+00;5.622989e-01
9.000100000000000e+00;5.004610e+00;5.560616e-01
9.100090000000000e+00;5.004696e+00;5.499611e-01
9.200080000000000e+00;5.004779e+00;5.439931e-01
9.300070000000000e+00;5.004861e+00;5.381531e-01
9.400060000000000e+00;5.004941e+00;5.324371e-01
9.500050000000000e+00;5.005019e+00;5.268413e-01
9.600040000000000e+00;5.005095e+00;5.213618e-01
9.700030000000000e+00;5.005169e+00;5.159952e-01
9.800020000000000e+00;5.005241e+00;5.107379e-01
9.900010000000000e+00;5.005312e+00;5.055866e-01
1.000000000000000e+01;5.005382e+00;5.005382e-01
