Freq.;V(out)/V(p001)
1.00000000000000e+00;(6.94626675874334e+01dB,-1.77296781902030e+02°)
1.02329299228075e+00;(6.94631059294066e+01dB,-1.77358709305217e+02°)
1.04712854805090e+00;(6.94635245989942e+01dB,-1.77419244284241e+02°)
1.07151930523761e+00;(6.94639244786508e+01dB,-1.77478418401351e+02°)
1.09647819614318e+00;(6.94643064114485e+01dB,-1.77536262532769e+02°)
1.12201845430196e+00;(6.94646712031550e+01dB,-1.77592806882609e+02°)
1.14815362149688e+00;(6.94650196232277e+01dB,-1.77648080996891e+02°)
1.17489755493953e+00;(6.94653524065865e+01dB,-1.77702113777089e+02°)
1.20226443461741e+00;(6.94656702558026e+01dB,-1.77754933493364e+02°)
1.23026877081238e+00;(6.94659738418885e+01dB,-1.77806567797942e+02°)
1.25892541179417e+00;(6.94662638053567e+01dB,-1.77857043738182e+02°)
1.28824955169313e+00;(6.94665407594128e+01dB,-1.77906387768891e+02°)
1.31825673855641e+00;(6.94668052891929e+01dB,-1.77954625765409e+02°)
1.34896288259165e+00;(6.94670579523194e+01dB,-1.78001783036103e+02°)
1.38038426460288e+00;(6.94672992841196e+01dB,-1.78047884333559e+02°)
1.41253754462275e+00;(6.94675297936608e+01dB,-1.78092953867710e+02°)
1.44543977074593e+00;(6.94677499688837e+01dB,-1.78137015316628e+02°)
1.47910838816821e+00;(6.94679602749100e+01dB,-1.78180091838653e+02°)
1.51356124843621e+00;(6.94681611555159e+01dB,-1.78222206083580e+02°)
1.54881661891248e+00;(6.94683530371183e+01dB,-1.78263380203132e+02°)
1.58489319246111e+00;(6.94685363249237e+01dB,-1.78303635862863e+02°)
1.62181009735893e+00;(6.94687114068139e+01dB,-1.78342994252213e+02°)
1.65958690743756e+00;(6.94688786526443e+01dB,-1.78381476095321e+02°)
1.69824365246174e+00;(6.94690384163722e+01dB,-1.78419101661058e+02°)
1.73780082874937e+00;(6.94691910364575e+01dB,-1.78455890773210e+02°)
1.77827941003892e+00;(6.94693368360617e+01dB,-1.78491862820490e+02°)
1.81970085860998e+00;(6.94694761230472e+01dB,-1.78527036766368e+02°)
1.86208713666287e+00;(6.94696091933365e+01dB,-1.78561431158135e+02°)
1.90546071796325e+00;(6.94697363271282e+01dB,-1.78595064137008e+02°)
1.94984459975804e+00;(6.94698577950682e+01dB,-1.78627953446353e+02°)
1.99526231496888e+00;(6.94699738534042e+01dB,-1.78660116441569e+02°)
2.04173794466953e+00;(6.94700847480726e+01dB,-1.78691570098312e+02°)
2.08929613085404e+00;(6.94701907135231e+01dB,-1.78722331021394e+02°)
2.13796208950223e+00;(6.94702919752482e+01dB,-1.78752415452945e+02°)
2.18776162394955e+00;(6.94703887468533e+01dB,-1.78781839281205e+02°)
2.23872113856834e+00;(6.94704812339044e+01dB,-1.78810618048144e+02°)
2.29086765276777e+00;(6.94705696316452e+01dB,-1.78838766957818e+02°)
2.34422881531992e+00;(6.94706541281122e+01dB,-1.78866300883790e+02°)
2.39883291901949e+00;(6.94707349014765e+01dB,-1.78893234377188e+02°)
2.45470891568503e+00;(6.94708121231378e+01dB,-1.78919581673824e+02°)
2.51188643150958e+00;(6.94708859570529e+01dB,-1.78945356701677e+02°)
2.57039578276886e+00;(6.94709565594094e+01dB,-1.78970573088157e+02°)
2.63026799189538e+00;(6.94710240801297e+01dB,-1.78995244167004e+02°)
2.69153480392691e+00;(6.94710886613230e+01dB,-1.79019382985399e+02°)
2.75422870333816e+00;(6.94711504413097e+01dB,-1.79043002310293e+02°)
2.81838293126445e+00;(6.94712095493097e+01dB,-1.79066114635668e+02°)
2.88403150312660e+00;(6.94712661123315e+01dB,-1.79088732188272e+02°)
2.95120922666638e+00;(6.94713202488136e+01dB,-1.79110866934707e+02°)
3.01995172040201e+00;(6.94713720749756e+01dB,-1.79132530586990e+02°)
3.09029543251359e+00;(6.94714216989571e+01dB,-1.79153734609295e+02°)
3.16227766016837e+00;(6.94714692267948e+01dB,-1.79174490223320e+02°)
3.23593656929628e+00;(6.94715147599472e+01dB,-1.79194808414433e+02°)
3.31131121482591e+00;(6.94715583931035e+01dB,-1.79214699937619e+02°)
3.38844156139202e+00;(6.94716002201579e+01dB,-1.79234175322548e+02°)
3.46736850452531e+00;(6.94716403306679e+01dB,-1.79253244879442e+02°)
3.54813389233575e+00;(6.94716788069782e+01dB,-1.79271918704724e+02°)
3.63078054770101e+00;(6.94717157333758e+01dB,-1.79290206685507e+02°)
3.71535229097172e+00;(6.94717511865961e+01dB,-1.79308118505625e+02°)
3.80189396320561e+00;(6.94717852422320e+01dB,-1.79325663650158e+02°)
3.89045144994280e+00;(6.94718179718964e+01dB,-1.79342851410661e+02°)
3.98107170553497e+00;(6.94718494459776e+01dB,-1.79359690889826e+02°)
4.07380277804112e+00;(6.94718797304598e+01dB,-1.79376191006523e+02°)
4.16869383470335e+00;(6.94719088900762e+01dB,-1.79392360500251e+02°)
